Name;Type;ID;Description;ParentElement;ElementType.Name;ElementType.Description;ElementType.ParentElement;Hidden;StrokeThickness;ImageLocation;SelectedStencilType;SelectedStencilConnection;StrokeDashArray;Attributes.Element:Text
Advisor;IT;SE.AA.TMCore.Advisor;Azure Advisor is a personalized cloud consultant that helps you follow best practices to optimize your Azure deployments.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Active Directory;IT;SE.AA.TMCore.ActiveDirectory;Azure Active Directory (Azure AD) is Microsoft’s multi-tenant cloud based directory and identity management service.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Active Directory B2C;IT;SE.AA.TMCore.ActiveDirectoryB2C;Azure Active Directory B2C is a comprehensive cloud identity management solution for your consumer-facing web and mobile applications.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Active Directory Domain Services;IT;SE.AA.TMCore.ActiveDirectoryDomainServices;Azure AD Domain Services (DS) provides managed domain services such as domain join, group policy, LDAP, Kerberos/NTLM authentication that are fully compatible with Windows Server Active Directory.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
API App;IT;SE.AA.TMCore.APIApp;API Apps is one of four app types offered by Azure App Service. API apps in Azure App Service provides a rich feature set to develop, host and consume APIs in the cloud and on-premises. Azure App Service is a fully managed platform for web, mobile, and integration scenarios.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Application Insights;IT;SE.AA.TMCore.ApplicationInsights;Application Insights is an extensible Application Performance Management (APM) service for web developers.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Automation Runbook;IT;SE.AA.TMCore.AutomationRunbook;A runbook is a set of tasks that perform some automated process in Azure Automation. It may be a simple process such as starting a virtual machine and creating a log entry, or you may have a complex runbook that combines other smaller runbooks to perform a complex process across multiple resources or even multiple clouds and on premise environments.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Cloud Shell;IT;e2d01a90-8fcb-44f8-a335-2db0cdfec109;Azure Cloud Shell is an interactive, authenticated, browser-accessible shell for managing Azure resources.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Container Registry;IT;SE.AA.TMCore.ContainerRegistry;Azure Container Registry (preview) is a private registry for hosting container images;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Devtest Labs;IT;SE.AA.TMCore.DevtestLabs;Azure Devtest Labs is a service that helps developers and testers quickly create environments in Azure while minimizing waste and controlling cost.;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
