Id;ShortTitle;Category;Description;Possible Mitigation(s);Severity;SDL Phase
TH3000;Insecure HTTP access from Internet to Web Application;I;Uncontrolled HTTP flow from Internet to Web Application can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Internet and Web Application, and minimise the amount of data exposed.;High;
TH3001;Direct Internet access to Web Application without application-layer protection;IA;Uncontrolled HTTPS flow from Internet to Web Application can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Web Application and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3002;Direct Internet access to App Service without application-layer protection;D;Uncontrolled HTTPS flow from Internet to App Service can lead to denial of service or resource exhaustion.;Rate-limit and filter HTTPS traffic from Internet to App Service, using DDoS protection, throttling and input validation to prevent resource exhaustion.;High;
TH3003;Insufficient security logging for traffic Internet to API App;R;Uncontrolled HTTPS flow from Internet to API App can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Internet and API App, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3004;Insecure HTTP access from Internet to Functions;IA;Uncontrolled HTTP flow from Internet to Functions can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Functions and restrict inbound HTTP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3005;Uncontrolled TCP access from Internet to Windows Virtual Machines;IA;Uncontrolled TCP flow from Internet to Windows Virtual Machines can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Windows Virtual Machines and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3006;Weak identity controls on access from Internet to Linux Virtual Machines;IA;Uncontrolled TCP flow from Internet to Linux Virtual Machines can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Linux Virtual Machines and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3007;Database service Azure SQL Database directly exposed to the Internet;IA;Uncontrolled TCP flow from Internet to Azure SQL Database can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure SQL Database and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3008;Database service Azure Database for MySQL directly exposed to the Internet;R;Uncontrolled TCP flow from Internet to Azure Database for MySQL can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Internet and Azure Database for MySQL, and send logs to a central SIEM for alerting and investigations.;Critical;
TH3009;Database service Azure Database for PostgreSQL directly exposed to the Internet;IA;Uncontrolled TCP flow from Internet to Azure Database for PostgreSQL can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Database for PostgreSQL and restrict inbound TCP traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
